Paiwan,English
ka kakedriyan aken nu uri vaik a qemaljup nu qezemezemetj ti kama kati kama i kuliw kemacu ta tjakidi kata kuang,When I was little my dad and uncle would go out at night with hunting knives and guns
e aza patagilj anga pasa tjevuta za u aljak,I think the baby starting to run out
a e sikudakuda saka nu sipaka simatjelj anga sipaka limalj,And the tools of daily life It is the fourth or fifth day
mare kakakaka itjen,We are all family
alapu a su laqulj,Take out your textbook
seljavak,run into
kisumadjumadju amga mun,Are you committed
venceluq,break
pida nga,How much
cadjaravac tua pairang,It is a long way from the city of Flatland
aza qinavay nua kina pai maretimalji aza sinan paluvalu,That moms rice cake stuffing
tua,About
avanazua patagiljanga itjen a penispis,It is time to start breaking up the taro
ui ku papemadjuluavanga,Alright I will give you a discount
pida a su pasaqaca,How tall are you
kiljuvaq,outdoing one another
ui ika vasa ika kavasan,That is right It is not taro It is not real taro
a sikavaljualjut nua se paiwan a caucau kasicuayan avan a qemuljic a mavacuk a seman quma nu remaketjan vaik a qemaljup,The traditional livelihood of the Paiwan people is mainly based on cultivation in the fields supplemented by hunting
purukuz,save
gata tucu ta sema tjai kaudrav anga inia nga aya tiamadju tucu,But they are not doing it now with Lavrov
lja aza rinava timadju ulusay a mumalj,Because it would be a pain in the ass to put that thing down and reassemble it
avanzua tjalja qemutelan azua ui,It is a real pain in the ass
a sipuljaljakan ti tjaiwan,The smallest one is Choi Yee Wan
na selapay aravac amen tua nia inizyuan,We have had a hard time moving
temavatavalj a men,We are all planting rice
nanguaq aravc a ku sinekeljangan tja nu sun tu ku salasalaj,It is good that I have a friend like you
palalj,wing
aycu,this one
namatazua ta kakudan a sicuayan,That is how cultural life used to be
iniang kamena maurauram tua nia kinaqusav tua nia kina saljing,We will never lack for anything we want again
kedri a ku kineljangan ljakua tjara temevela ken ta ku kineljang,I do not know much about that but I will tell you everything I know
ka izuai tjavadran pai,Historical heroism of the Dasarwalam Tribe at that time
ayatuwa,because
ini pasaljusun apacun,No you are mistaken
a ki kemaljava tjanuitjen au avan zua a tja si magagalj a nu vaivaik itjen a kitjaivililj tusa tja,Waiting for us so we will be nervous if we are being hunted
tu pavain ta nanuaqan tua ungmi cu a mamazangiljan i tjumaq,Gods blessing and good fortune will come to the heads house
ika en nakemeljan nga tu pacucung tiamadju,I did not know they saw it
a su sipucung,Do you have anything to add
kipuvarung tiamadju tu venaquan a semapesap tazua gac,They are trying to cut the grass around it to show the state of the crack
maitazua macekas itjen,It is like our skin is cracking
aw a nia ay ana izuaanan a nia men a,Then we were trained in our Iron Man Umbrella
tiaken kata tjavulung a kaka uaqaljay vavayan ru kaciul a djemekep tua ceqel,My brothers and sisters and I will catch frogs together
malua a su kinacu a paisu,Do you have enough money
ti ka pacunan na ken qivu tjanuaken nu tjaivililj tjara masan saiguan sun a cinunan,Dad saw it and told me that I will be a very good hunter in the future
izua tu ika na palimasutj a uri san umaqan sapayan anan sakamaya,Sometimes the environment of the building is not organized so it is necessary to fill in the ground first
azua namatazua qudjidjilj,The red ones
a nu tjemugut patawdan tua djulis tu kedri nasevuqesi tu tjaljaitaita,And when sowing they will sow with some red quinol
ui ljakua ika na savenarung tja viniakan a mainumainu,But you do not think about the road you have traveled
nia sikakudanan,Our Life
marecekelj,couples
uiu ayaing,I answered yes
qudjepadjepal,astringent
i tulutulu sun i zainu,Where did you study
kinuda,How do you do it
ha ha ha ha ha,Hahahahahaha
kanaika uli pacencen ta nimun a amazua,If you do not follow the seasons
auniaeinaya matazua pasa umaq tjayain vinuciq anga imaza i yumaq,And then we took it straight home and slaughtered it at home
manu izuaza ti izuaza a nia kaka a nia nema a iljavalang,I did not realize that our brothers and sisters our relatives and friends were saying
ti saudraduy puvaljaw tua lja talimadraw,Saladriel is married to Talimans Nuisance
kiqata,Invitation
sa saingi za nia kasiw izua,Shine the light on that tree
alapen niamadju yu za vutjulj,Did they take those hunts
manu sakanumaya tjisunay Mukay a se Tjarivavav,All right you are on top You are on top You are on top Mokai
a tjumaq na mamazangiljan izua vincikan tua kumas a uqaljai katua vavayan pitua qeluz izua uta a vincikan ita caljivan,In Toumous house there is always a pillar with a male and female ancestor and the wall panels are all carved with totems
iyainuwan,where
ini na maipuq,No no no no no He fell on his own
levecan,draw water with a ladle
sangasangasang a u inalap azua,That is the first thing I have ever hunted
niciubi,sundae
aza izua,It is over there
kubav,barn
musalj,indistinct
galjuanan galjuanan,Wait wait wait
a nia kinacemekeljan matjelu amen a marekakakaka,There are three brothers and sisters in our family
saka nu tjasazuain,Then go to the store
dikilu anga seman saqetju a palisiyan na pulingaw tauta,You can ask a shaman to perform a ritual to get rid of your uncleanness
maledep,sundown
mamamw anga zaniya tjiyuma a sepatj a cekeljan,Then all four of our families had the same swing
ka madaigaku anga ken kitulu aken ta kinacalisiyan a bungka sa ku keljang anga ta i taiwan a kacalisiyan izua ngaquaqn namakakaizua a bunka,After I went to college I took a course on aboriginal culture and learned that the aboriginal people in Taiwan have various and rich cultures
utapuluq a qacang a culjuy nu kiljuku,Yes ten pigs are needed for the ceremony
qau saka nu kadjamadjan angauta nuru pucekeljitjn ikatjen na minaqunaqup,On our wedding day we cannot wash our faces in the morning
sa tjakaljavay tu mala lima milingan,Five more minutes
e na semaceqalj tiamadju,They will be able to relax
anema nu su cauan aru cuai nu sema vava,You are really talented Does it take a long time to make
aicu a djaladjalan nua gang katua vuljaw makapalak,Thus the pathways for hairy crabs and baldhead sharks are disrupted
masa pasuvililj anga ta isiukang,Maybe a week later
sikamasanpidalj,The first few
nu cemikel itjen tua tja kipaselamuan i taipei aya,If I go back I might as well stay in Taipei
alu anga,It is eight of the clock
saka ui ya,That is right
aqu situru a kiayan a kiqaluvuan ini a namarekutj sini ka samalji angata qau nama paqaljai a uta,His courage to go into the battlefield in the midst of gunfire and bullets to remove the Japanese flag is also impressive
namazeli,with much toil
ljemaljukuan,bend over
cemacavu itjen etua ekipaselem itjen,Wrapped and covered from before Look at this woven object
izua a kuzidingsia,I have a bicycle
ana temakit uu aya ayi ya taqaljaqaljan aya,Tribesmen with swords and tsunamis
bulabulay a sinanayan,It will look better when it is made
pasucikel,Rebate Gift
aya ti kama nu meqaca sun ku su kacuaw anga,Dad said that he would take me with me when I grew up
namakuda a kinaqadaqadavan a vuaq,How is the weather today
semazua i kaukazangiljan aya,Go to the Cachainglan house
anema pinitaladj,What is in it
paulananga numaya ui masalu,It is a shame is not it Thank you sir
ika en nadjemadjas,I did not take the switch
mayatazua sakavan a vayar mayatazua patjezuain,In addition to those and the shawl it is a complete costume
azazua ui vai a mapana alja Rusiguan ui,The Luxiguwan family goes to the river
pangtjezuanga kivala a sema tjanuamen nu navenalanga su kula ku ayain ti kama i Kapi,I said When your foot gets better come to our house next time and visit us
tjacengelj,Our Lunch
qapedapedang,Salty
imaza sa tja aljak vuvu a kemasi gukusiyu,Peace to all our children and granddaughters from the village office
madudu,curse
taqaljaqaljan,whole village
izua ti vuvu ljakua maculeq anga ravac a calinga ni madju,Vuvu is at home but his ears are hard of hearing very badly
kiniteveljan,living with
drusa a puluq saka lima,twenty five
qau nu karakuda tua sengsengan a seman tapaw a sikataqaljan namare pusalasaladj neka nuljemaini ta i qinalja,As for the construction of the house all the clansmen assisted each other with a passionate moral ambition and no one refused to take part in it
ka a,then
qa qau sakaru kemudanucu,Aah What am I going to do What am I going to do
nu kimaya nu patagilj itjen a ljemama,Around or in the morning before sunrise we would start burning
azua na i vaik ti vuvu savuluvulung,Those who respect the elderly
nu lemangeda tazua senay na tjaimaza temevela zua tjaizuazua,This side heard the song and the other side answered
uri kemuda anga sun nusauni,What are you doing later
vanu vaik a kisudju aya ika matjeketjeketjek a djalan,I am going to propose to you to pick up your wife I am going to propose to you
namadraudraw aken a kemacu ta ku qecap,I forgot to bring my chopsticks
mamaw kataiucu a vaqu a sipalisiyan aw numapakalisi tucu a satja,The ritual is performed like the blessing of the millet and then after the completion of the tax offering
suliavu a keman liav anan a kinsa imaza,Enjoy yourself There is a lot more
pinadjulu,Preparation
pukasasavan,courtyards
a bulabulay a vavayan a kava inika pavai ta na masengsengseng a kava pasaljinguaq sa saljunguaq,Dress her in nice clothes not scruffy and dirty ones and make her life nice and smooth
nusa pazulju pizuan ta caqev a aya,If you want to strengthen the cover and put iron on it
sa macidicidilj anga a aljak a tisa muakaikay sa paquzipi nuazua vetjek na kama i ljaqediqeli aya,He left behind a daughter Mukaikai who was raised by her uncle who lived next door to her
pinupukan,Tree Bean Soup
tua niya niya vuvu aya za marezekatj,That is what the couple said to our grandchildren
varung,thoracic cavity
a maukaikay aza matjelu a aljak,Three kids
saka na suljivat sun a djemedje tu qadaw tu cavilj anga,And it is safe every day every year
vaik a timadju kitulu ta sing gakuing a ta cavilj,Going to school for a year
a imazai tjukuvulj tucu a zidai tjayau,In the days of the Devon tribe
ceqer,ugly guy
aza uqaljay paciljav,If it is a boy it is a knife
namakazua kemuya aya,The snake tore down from there
niaken,mine
alapen amen a na dripung a,The Japanese took them away
avan cu a pugu vuljaljuq iris aya tucu,So here is Mama Taro top quality taro baby taro
lja ima za tja cianseng tia cianku tucu,Which family are Johnson and Johnson
pai aza nu masengeseng akem,I am at work
uri kacuin aken ni kina a kipucemel,Moms taking me to the doctor
a ljemita tua paljing na tacemekemekeljan tjara patjatju qemuziquzip tua gung azua paquzip tua gung,Almost all households keep cattle and buffaloes for three purposes
patjumalj tu anema niamadju a kasusu maljimalji ta tja cemas aya paka maljimalji ta kasusu niamadju a kasi vinqaca,Tell each other what our friends and family do and thank God and our ancestors
zangalu kisamuljawu maleva ken a parut za izuanga mun a namaya tucu a uri e,May you push harder and work harder and I am really happy to have the promoters of Language Push
aka nia qineci a tamagu nia qineci timadju a viniqu,We shot that umbrella festival and its eggs
bulay tja lapen u ayaing,I would better get it
lja titjeng a I qumaqan rarupuravanitjeng au marekutj tu pasaliu itjeng aya,Because he is worried that someone in our family might make a mistake
tjumaqu,return home
aicu surunung tja pizuain i veleljuan tu sidjameq ta ciqaw,This is a fish trap which we put beside the river for fishing
qivu tjiyamadju a mayatazua,Here is what they said
tarartayarqezetj,headdress
qayaw,front
hehehetimanga za ti kaka ti kama i talu,Hahaha Dad hitchhiking I forgot
sa tjepanapananga za tiamadju maʼeljang ui e napaʼaliyavanga tiamdju ta lemadenga en,While they were catching fish they heard that they had already caught a lot
azu tja cikacu,Our Life
kinacu amen ni sinsi a ma kakataliduan ta qemuziquzip i paljing amen a na siyugu a uri veneli ta kipu,Today the teacher took us to the zoo and we lined up at the gate to buy tickets
sigaravagavan,active and inactive
djavadjavay mun a cemekemekelj aya,Sympathy for family members really suffer you
